name,fuel,seller_type,transmission,owner,owner_numeric,log_selling_price,log_km_driven,scaled_age
Maruti Swift Dzire VDI,0,0,0,0,,13.017005083966255,11.8879382384223,0.16216216216216217
Skoda Rapid 1.5 TDI Ambition,0,0,0,1,,12.821260987319457,11.695255355062795,0.16216216216216217
Honda City 2017-2020 EXi,1,0,0,2,,11.970356641102999,11.849404844423074,0.37837837837837845
Hyundai i20 Sportz Diesel,0,0,0,0,,12.323860125621126,11.751950239425476,0.2702702702702703
Maruti Swift VXI BSIII,1,0,0,0,,11.775297421715827,11.695255355062795,0.35135135135135137
Hyundai Xcent 1.2 VTVT E Plus,1,0,0,0,,12.994532278619134,10.714439990727769,0.08108108108108109
Maruti Wagon R LXI DUO BSIII,2,0,0,0,,11.472113887062386,12.07254696717504,0.35135135135135137
Maruti 800 DX BSII,1,0,0,1,,10.714439990727769,8.517393171418904,0.5135135135135136
Toyota Etios VXD,0,0,0,0,,12.765691290604371,11.407576060361786,0.24324324324324326
Ford Figo Diesel Celebration Edition,0,0,0,0,,12.206077645517674,12.037659911047468,0.1891891891891892
Renault Duster 110PS Diesel RxL,0,0,0,1,,13.122365377402328,11.127277689932466,0.16216216216216217
Maruti Zen LX,1,0,0,1,,11.429554725537322,11.51293546492023,0.40540540540540543
Maruti Swift Dzire VDi,0,0,0,1,,12.54254845357358,11.849404844423074,0.2972972972972973
Maruti Swift 1.3 VXi,1,0,0,1,,12.206077645517674,11.289794413577894,0.35135135135135137
Maruti Wagon R LXI Minor,1,0,0,1,,12.100717685412471,11.407576060361786,0.2972972972972973
Mahindra KUV 100 mFALCON G80 K8 5str,1,0,0,0,,12.899222326086994,10.596659732783579,0.10810810810810811
Maruti Ertiga SHVS VDI,0,0,0,1,,13.564483088506746,11.156264806643742,0.10810810810810811
Hyundai i20 1.4 CRDi Asta,0,0,0,1,,13.122365377402328,10.87806606028079,0.21621621621621623
Maruti Alto LX,1,0,0,1,,11.918397239722838,11.289794413577894,0.48648648648648657
Hyundai i20 2015-2017 Asta 1.4 CRDi,0,0,0,0,,13.429849547739444,11.51293546492023,0.10810810810810811
Mahindra Verito 1.5 D4 BSIII,0,0,0,1,,12.066816325306588,11.51293546492023,0.24324324324324326
Honda WR-V i-DTEC VX,0,0,0,0,,13.76421831620775,10.819798284210286,0.08108108108108109
Maruti Swift Dzire ZDI,0,0,0,0,,13.171155446333852,10.596659732783579,0.13513513513513514
Maruti SX4 ZDI,0,0,0,0,,13.304686600863562,11.184435286790631,0.21621621621621623
Tata Tigor 2017-2020 XZ,1,0,0,0,,13.122365377402328,10.463131911491967,0.05405405405405406
Maruti Baleno Delta 1.2,1,0,0,0,,13.26212705890841,10.714439990727769,0.10810810810810811
Maruti Alto 800 LXI,1,0,0,0,,12.524530013005734,10.239995502805316,0.08108108108108109
Chevrolet Enjoy TCDi LTZ 7 Seater,0,0,0,0,,12.611541086966115,11.156264806643742,0.1891891891891892
Maruti Wagon R LXI Minor,1,0,0,0,,12.301387370778713,11.695255355062795,0.2972972972972973
Maruti Omni E MPI STD BS IV,1,0,0,0,,12.449018824140563,10.12667110305036,0.05405405405405406
Maruti Vitara Brezza LDi Option,0,0,0,0,,13.415034483903348,11.156264806643742,0.08108108108108109
Fiat Palio 1.2 ELX,1,0,0,1,,11.156264806643742,10.819798284210286,0.4594594594594595
Maruti Omni 8 Seater BSIV,1,0,0,1,,11.918397239722838,10.463131911491967,0.21621621621621623
Hyundai i20 1.2 Asta Dual Tone,1,0,0,0,,13.500801182986649,7.77863014732581,0.05405405405405406
Maruti Vitara Brezza LDi,0,0,0,0,,13.384729180332174,9.692828247710418,0.08108108108108109
Maruti Alto 800 CNG LXI Optional,3,0,0,1,,12.706850963741102,9.210440366976517,0.02702702702702703
Maruti Alto K10 VXI Airbag,1,0,0,0,,12.810391344620207,9.61587214452889,0.02702702702702703
Hyundai Verna VTVT 1.6 SX Option,1,0,0,0,,13.954403427152533,8.517393171418904,0.02702702702702703
Datsun GO D,1,0,0,0,,11.918397239722838,10.645448706505872,0.10810810810810811
Tata Safari DICOR 2.2 LX 4x2,0,0,0,1,,12.959846800844963,11.002116507732017,0.24324324324324326
Maruti 800 Std,1,0,0,0,,11.918397239722838,11.23850177707664,0.21621621621621623
Jeep Compass 1.4 Limited Plus BSIV,1,0,1,0,,14.557448378884015,8.517393171418904,0.02702702702702703
Honda City i VTEC VX,1,1,0,0,,13.73755009757506,10.27163147557801,0.05405405405405406
Honda City V MT,1,1,0,0,,12.959846800844963,11.3655964644899,0.1891891891891892
Maruti Swift Dzire VXi AT,1,1,1,0,,13.42246945133505,10.056251557087757,0.05405405405405406
Maruti Vitara Brezza VDi,0,1,0,0,,13.617059619240436,10.392098241730961,0.05405405405405406
Maruti Alto K10 VXI,1,1,0,0,,12.873904582205107,9.239996256883693,0.05405405405405406
Toyota Fortuner 4x4 MT,0,1,0,0,,14.220976332738882,11.251573687764477,0.16216216216216217
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,0,1,0,0,,13.45883704259595,11.502885230075814,0.1891891891891892
Mercedes-Benz B Class B180,0,1,1,1,,14.187074804051692,10.2328272702548,0.16216216216216217
Honda Amaze S Diesel,0,1,0,0,,12.959846800844963,10.815790343132422,0.13513513513513514
Mitsubishi Pajero Sport 4X4,0,1,0,0,,13.901689171636098,11.92504173829169,0.1891891891891892
Honda City i DTEC S,0,1,0,0,,13.304686600863562,10.909637269778615,0.13513513513513514
Maruti Ciaz Zeta,1,1,0,0,,13.652992804936396,11.06665398721974,0.05405405405405406
Honda Jazz VX Diesel,0,1,0,0,,13.171155446333852,11.050905878263567,0.13513513513513514
Toyota Innova Crysta 2.8 ZX AT BSIV,0,1,1,1,,14.316286451937186,11.757446872843532,0.10810810810810811
Toyota Innova 2.5 G (Diesel) 7 Seater,0,1,0,0,,13.76421831620775,11.502885230075814,0.10810810810810811
Audi A6 2.0 TDI Technology,0,1,1,1,,14.375126917328105,10.431199791458543,0.1891891891891892
Toyota Corolla Altis 1.8 VL CVT,1,1,1,0,,14.279245203127035,10.12667110305036,0.05405405405405406
Audi A6 2.0 TDI  Design Edition,0,1,1,0,,14.340239086899256,10.819798284210286,0.1891891891891892
Mercedes-Benz New C-Class 220 CDI AT,0,1,1,0,,14.169683073439028,10.985309671896763,0.1891891891891892
Tata Manza ELAN Quadrajet BS IV,0,0,0,0,,12.487488878546145,11.695255355062795,0.24324324324324326
Hyundai i10 Magna,1,0,0,2,,12.154784614286667,11.608244735642321,0.24324324324324326
Hyundai i20 Asta 1.4 CRDi,0,0,0,0,,12.959846800844963,11.002116507732017,0.1891891891891892
Maruti Swift Dzire ZDI,0,0,0,1,,13.353476685668044,11.898194668458823,0.13513513513513514
Ford Figo 1.2P Titanium MT,1,0,0,2,,13.304686600863562,10.12667110305036,0.08108108108108109
Maruti Baleno Delta 1.2,1,0,0,0,,13.384729180332174,10.308985993422082,0.02702702702702703
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,0,0,0,0,,13.199326270390594,10.596659732783579,0.10810810810810811
Honda City i DTEC VX,0,0,0,0,,13.353476685668044,11.813037464800539,0.13513513513513514
Maruti Wagon R AMT VXI,1,0,1,0,,13.012550743537489,10.308985993422082,0.05405405405405406
Volkswagen Ameo 1.5 TDI Comfortline,0,0,0,0,,13.122365377402328,11.289794413577894,0.08108108108108109
Maruti Vitara Brezza VDi,0,0,0,0,,13.521140839642674,11.156264806643742,0.10810810810810811
Maruti Vitara Brezza ZDi Plus AMT,0,0,1,0,,13.840204146163925,9.19532825185568,0.02702702702702703
Hyundai i10 Magna,1,0,0,1,,12.367345048436391,11.002116507732017,0.24324324324324326
